CustomerKey,Customer,CustomerType
1,Kaelen Swiftblade,Adventurer
2,Lady Serapha Vane,Noble
3,Magister Orin Blackquill,Collector
4,The Wayfarers Company,Guild
5,Brynn Emberforge,Adventurer
6,Thessaly Moonwhisper,Adventurer
7,Duke Alaric Thorne,Noble
8,Vex the Curious,Collector
9,Order of the Silver Dawn,Guild
10,Garrick Stonehelm,Adventurer
11,Countess Isolde Grimm,Noble
12,Archivist Penrose,Collector
13,Black Banner Mercenaries,Guild
14,Sylvie Nightbloom,Adventurer
15,Ferrin Quickfingers,Adventurer
16,Baron Cassius Mor,Noble
17,The Gilded Hand,Collector
18,The Gravewatch,Guild
19,Mira of the Dunes,Adventurer
20,Old Hemlock,Collector
